,Names,real
0,نهاد خالد عطاء,1
1,زهرة علاء نديم,1
2,شرجا لعمي حجر,0
3,جرير رؤوف عبدالحميد,1
4,أفائوقة حافظ دد,0
5,غلا ةةمي كعب,0
6,شهم عبدالله حواس,1
7,تغلب سادن حارب,1
8,إياس كعب عبدالجبار,1
9,حسون خاتم مظهر,1
10,حاشد خاتم مضر,1
11,أثير رفين يعقوب,0
12,دنيا عمير عبدالعليم,1
13,عصمت عشير باهر,1
14,شجن ضظني ورد,0
15,أزهار صارم عبدالشكور,1
16,فائقة حظ آشديذد,0
17,سفيانة زبير اسلم,1
18,فائقة حثاذفظ دي,0
19,أشرم عراد تمام,1
20,فائقة حافظ فشسد,0
21,سكينة بكر عبدالرشيد,1
22,فئثاآةق حف شديد,0
23,منذرة شاكر ذباح,1
24,حور سلامة تواب,1
25,فئق حأامفظ شديد,0
26,رجعازء مجتبى دع,0
27,قفثائقة حافظ شد,0
28,فرىد جودة رائف,0
29,بقة رغاحئض مبروك,0
30,فائقة لبيب عزب,1
31,سيد نامي مناحي,1
32,غسان سلطان همام,1
33,ائق حافظ شددعيد,0
34,إبراهيم ياسر عماد,1
35,ماعفئةق اظ شديد,0
36,غيث عبدالحق عبداللطيف,1
37,يؤزبهن تا ناصف,0
38,هدير ما سوجؤدا,0
39,تماضر قيس معتصم,1
40,بهجت عاطف كامل,1
41,فسائاقة احظف شد,0
42,رافد ليث قسيم,1
43,فنن ظفار عوني,1
44,أيوب قدري هانئ,1
45,عبدالحي شبل فتوح,1
46,آلاء عبدالرحمن أشرف,1
47,اسلم فليح سمعون,1
48,كاملة وارف سعيد,1
49,مصلحة أخزم رياض,1
50,فاتح مسلمة خالص,1
51,مغوار تدؤر هزةي,0
52,فائقة شااظ شديد,0
53,عديل سلمة مناحي,1
54,ساجد عبدالحكيم عدلي,1
55,ريمة قب زظكريطا,0
56,آفاة حافظ شديد,0
57,فائقة ظا شءدئيد,0
58,ظاهر أشقر رائض,1
59,أمي تخعبساة مدرك,0
60,ود ومقف طعال,0
61,ديمة تمام نصرت,1
62,فاة حآافشظ ديشد,0
63,خزنة أدغم ظافر,1
64,فئة اافحفظ شديد,0
65,سمعان ساعف مارسيل,1
66,زاهية لثنى ائهدئن,0
67,منذرة هريرة عليم,1
68,فائقة حافظ دشظد,0
69,يسرى نصار راكان,1
70,حسنية خليوي صارم,1
71,عفان عزب قدامة,1
72,رويشد دعيج معمر,1
73,ائق احظف هشدآيد,0
74,دفؤائقة حظ شديد,0
75,فائقة حاإف دشدي,0
76,غنداإي قتيبة صا,0
77,ادفقفئة حافظ يد,0
78,رماح إسلام كاسب,1
79,بلال وديع سحيم,1
80,عبدالواحد زغلول نجدة,1
81,ئفاقة رحاإفظ شد,0
82,منصفة عبدالشكور تميم,1
83,امتثال قائد رئيف,1
84,خميس ممدوح فاضل,1
85,عليم ظافر مارسيل,1
86,زينب ربيع قدامة,1
87,دريد عريب مطاوع,1
88,فائأقصة اظ شديد,0
89,ثوبة سنان مرتضى,1
90,جندل أنس أغلب,1
91,اظقة حافظ شديد,0
92,دهيم فرج ناشد,1
93,كاتيا نجاد عدلي,1
94,حنشل أزهر شديد,1
95,فائقة آحاف شديد,0
96,أشرم مظفر عقاب,1
97,ثناء أبلج سنان,1
98,راسخة عمر درغام,1
99,ريتاج ار كنموتسم,0
100,فئاةق حةاكفظ دي,0
101,نهى ميلاد سلام,1
102,حمزة دهيم عليان,1
103,لمياء بحار بدلزقيؤم,0
104,رفيق نافع مطلق,1
105,افق احافهظ شديد,0
106,رغيد برهان تقي,1
107,ماهرة تظخصام مظر,0
108,للة منان روفهيق,0
109,كادي ريان حزم,1
110,رافق محمود أخضر,1
111,فائقة زفظحاظ شي,0
112,لئفشاقة اظ شديد,0
113,رفيع سريين سدؤا,0
114,حسين هادي سلام,1
115,أمين أدغم جامع,1
116,آلاء أدعج بشارة,1
117,حفغقائة حظ شديد,0
118,بانة قابس عراب,1
119,اؤرنإاي نر غوث,0
120,ئقفياقة حظ شديد,0
121,أخزم كميت رئيف,1
122,صميم مدثر ياسر,1
123,روافجحة في فارع,0
124,شبلييغة دمراس كم,0
125,غلاب مبخوت معين,1
126,عزب عروة مرحب,1
127,صمود لسثداد اي,0
128,عقل عتاب عبدالرؤوف,1
129,الهنوف مصطفى سادن,1
130,خاتم رأفت ضاهر,1
131,جودت محسن فرحات,1
132,صباح عبدالسلام متعب,1
133,رؤى هود قدري,1
134,ائة احظف سشديطد,0
135,عبدالظاهر معاد عقلة,1
136,فائقة حاتفنظ دد,0
137,يذ مرشد مرتؤجدى,0
138,مرهفة دعابلحق خصآح,0
139,معطية فهيم رافد,1
140,سسيرآم أوس شر,0
